#{"t_start": 1773695409.81789, "env_id": "None"}
r,l,t
-444.0,200,37.621295
-179.0,200,37.770227
-104.0,200,37.921207
-202.0,200,38.07156
-327.0,200,38.233852
-165.0,200,38.381715
-226.0,200,38.527928
-111.0,200,38.675528
-200.0,200,38.825462
-113.0,200,38.979005
-130.0,200,39.128948
-104.0,200,39.277467
-106.0,200,39.424674
-139.0,200,39.573353
-106.0,200,39.719729
-147.0,200,39.867259
-114.0,200,40.014138
-176.99,200,40.160385
-207.0,200,40.308815
-156.0,200,40.45475
-378.0,200,40.605095
-156.0,200,40.749758
-330.0,200,40.898339
-199.0,200,41.052476
-199.0,200,41.2163
-206.0,200,41.386697
-229.0,200,41.543779
-219.0,200,41.700685
-182.0,200,41.856405
-154.0,200,42.011193
-168.0,200,42.161979
-102.0,200,42.329944
-195.0,200,42.493137
-191.99,200,42.649704
-131.0,200,42.799772
-232.0,200,42.952635
-192.0,200,43.109288
-106.0,200,43.270042
-119.0,200,43.417047
-255.0,200,43.565723
-110.0,200,43.717377
-100.0,200,43.870913
-157.99,200,44.025196
-111.0,200,44.177097
-203.0,200,44.350192
-163.0,200,44.506804
-110.0,200,44.658711
-165.0,200,44.809998
-202.0,200,44.9636
-252.0,200,45.119345
-137.0,200,45.288255
-227.0,200,45.455848
-193.0,200,45.616571
-110.0,200,45.78514
-108.0,200,45.943083
-108.0,200,46.099839
-177.0,200,46.253418
-115.0,200,46.404833
-194.0,200,46.557633
-201.0,200,46.707606
-189.99,200,46.859937
-158.0,200,47.023952
-168.99,200,47.190254
-119.0,200,47.357787
-116.0,200,47.522145
-166.0,200,47.675482
-114.0,200,47.825865
-185.99,200,47.977973
-199.0,200,48.131746
-155.0,200,48.287254
-122.0,200,48.445874
-105.0,200,48.606431
-335.0,200,48.759303
-202.0,200,49.054169
-157.0,200,49.20946
-375.0,200,49.361067
-105.0,200,49.521092
-525.0,200,49.684688
-187.0,200,49.90309
-169.99,200,50.105087
-171.99,200,50.358553
-261.0,200,50.60803
-181.0,200,50.804543
-176.0,200,50.990706
-474.0,200,51.157504
-182.0,200,51.318857
-203.0,200,51.479093
-103.0,200,51.644154
-113.0,200,51.817125
-151.0,200,51.977825
-110.0,200,52.154402
-231.99,200,52.322291
-100.0,200,52.486841
-467.99,200,52.652426
-168.0,200,52.816149
-203.0,200,52.985565
-125.0,200,53.151418
-100.0,200,53.317305
-142.0,200,53.478116
-199.0,200,53.641968
-130.0,200,53.813593
-130.0,200,54.009613
-148.0,200,54.175873
-278.0,200,54.342796
-98.0,200,54.516955
-352.0,200,54.689893
-126.0,200,54.856576
-121.0,200,55.033677
-107.0,200,55.21122
-163.0,200,55.37753
-142.0,200,55.562937
-163.0,200,55.752353
-429.0,200,55.92754
-201.0,200,56.107184
-426.0,200,56.277306
-263.0,200,56.451374
-111.0,200,56.622433
-180.0,200,56.790144
-568.0,200,56.957039
-182.0,200,57.126994
-180.0,200,57.297921
-299.0,200,57.46576
-151.0,200,57.63792
-105.0,200,57.805873
-107.0,200,57.977748
-193.0,200,58.141745
-102.0,200,58.305208
-107.0,200,58.4688
-107.0,200,58.632163
-172.0,200,58.795712
-106.0,200,58.960721
-109.0,200,59.124617
-193.0,200,59.286519
-155.0,200,59.450901
-160.0,200,59.61445
-115.0,200,59.775634
-100.0,200,59.963292
-118.0,200,60.150235
-155.0,200,60.322137
-104.0,200,60.515748
-131.0,200,60.689691
-252.0,200,60.860835
-204.0,200,61.030842
-125.99,200,61.200501
-352.98,200,61.365344
-107.99,200,61.533712
-100.0,200,61.706693
-356.99,200,61.879299
-222.0,200,62.057891
-151.0,200,62.258381
-106.0,200,62.442934
-198.0,200,62.609321
-257.0,200,62.77256
-262.0,200,62.934059
-97.0,200,63.09944
-160.0,200,63.274286
-101.0,200,63.437524
-255.0,200,63.600609
-155.0,200,63.765488
-198.0,200,63.927623
-175.0,200,64.090257
-169.0,200,64.25371
-315.0,200,64.413306
-181.0,200,64.576582
-195.0,200,64.740204
-165.0,200,64.918158
-119.0,200,65.092684
-198.0,200,65.262783
-244.0,200,65.426789
-216.0,200,65.592437
-106.0,200,65.767779
-112.0,200,65.928468
-106.0,200,66.092694
-109.0,200,66.253893
-109.0,200,66.417001
-203.0,200,66.585339
-107.0,200,66.74985
-147.0,200,66.915669
-112.0,200,67.083279
-152.0,200,67.251952
-136.0,200,67.415869
-364.0,200,67.587329
-169.99,200,67.759884
-104.0,200,67.939954
-125.0,200,68.117159
-157.99,200,68.310176
-110.0,200,68.474068
-241.0,200,68.641863
-494.0,200,68.804046
-172.0,200,68.973526
-195.0,200,69.158221
-109.0,200,69.322753
-184.0,200,69.49862
-101.0,200,69.674623
-109.0,200,69.851373
-199.0,200,70.021015
-106.0,200,70.190141
-132.0,200,70.349186
-153.0,200,70.509177
-103.0,200,70.668934
-94.99,200,70.833199
-217.0,200,71.010051
-250.0,200,71.186998
-112.0,200,71.346417
-121.0,200,71.660965
-100.0,200,71.840396
-105.0,200,72.004486
-106.0,200,72.173622
-144.0,200,72.340462
-204.0,200,72.508671
-105.0,200,72.674915
-274.99,200,72.830195
-201.0,200,72.987133
-108.0,200,73.145675
-103.0,200,73.300387
-135.0,200,73.457896
-155.0,200,73.616341
-170.0,200,73.777203
-151.0,200,73.936066
-107.0,200,74.11032
-380.99,200,74.27713
-139.0,200,74.434619
-99.0,200,74.59489
-377.99,200,74.754005
-350.0,200,74.911485
-123.0,200,75.071623
-123.0,200,75.228609
-335.0,200,75.386987
-111.0,200,75.5432
-279.0,200,75.701214
-112.0,200,75.856489
-155.0,200,76.01304
-553.0,200,76.170187
-143.0,200,76.325967
-111.0,200,76.491089
-169.99,200,76.643782
-92.99,200,76.797147
-185.0,200,76.962255
